:START_ID,:END_ID,relation,:TYPE
240,40,belongsTo,belongsTo
241,41,belongsTo,belongsTo
242,42,belongsTo,belongsTo
243,43,belongsTo,belongsTo
244,44,belongsTo,belongsTo
245,45,belongsTo,belongsTo
246,46,belongsTo,belongsTo
247,47,belongsTo,belongsTo
248,48,belongsTo,belongsTo
249,49,belongsTo,belongsTo
250,50,belongsTo,belongsTo
251,51,belongsTo,belongsTo
252,52,belongsTo,belongsTo
253,53,belongsTo,belongsTo
254,54,belongsTo,belongsTo
255,55,belongsTo,belongsTo
256,56,belongsTo,belongsTo
257,57,belongsTo,belongsTo
258,58,belongsTo,belongsTo
259,59,belongsTo,belongsTo
260,60,belongsTo,belongsTo
261,61,belongsTo,belongsTo
262,62,belongsTo,belongsTo
263,63,belongsTo,belongsTo
264,64,belongsTo,belongsTo
265,65,belongsTo,belongsTo
266,66,belongsTo,belongsTo
267,67,belongsTo,belongsTo
268,68,belongsTo,belongsTo
269,69,belongsTo,belongsTo
270,70,belongsTo,belongsTo
271,71,belongsTo,belongsTo
272,72,belongsTo,belongsTo
273,73,belongsTo,belongsTo
