index:ID,name,number,update,province,:LABEL
120,累计死亡,0,2020-06-23,西藏,died
121,累计死亡,0,2020-06-23,澳门,died
122,累计死亡,0,2020-06-23,青海,died
123,累计死亡,7,2020-06-23,台湾,died
124,累计死亡,7,2020-06-23,香港,died
125,累计死亡,2,2020-06-23,贵州,died
126,累计死亡,2,2020-06-23,吉林,died
127,累计死亡,3,2020-06-23,新疆,died
128,累计死亡,0,2020-06-23,宁夏,died
129,累计死亡,1,2020-06-23,内蒙古,died
130,累计死亡,2,2020-06-23,甘肃,died
131,累计死亡,3,2020-06-23,天津,died
132,累计死亡,0,2020-06-23,山西,died
133,累计死亡,2,2020-06-23,辽宁,died
134,累计死亡,13,2020-06-23,黑龙江,died
135,累计死亡,6,2020-06-23,海南,died
136,累计死亡,6,2020-06-23,河北,died
137,累计死亡,3,2020-06-23,陕西,died
138,累计死亡,2,2020-06-23,云南,died
139,累计死亡,2,2020-06-23,广西,died
140,累计死亡,1,2020-06-23,福建,died
141,累计死亡,7,2020-06-23,上海,died
142,累计死亡,9,2020-06-23,北京,died
143,累计死亡,0,2020-06-23,江苏,died
144,累计死亡,3,2020-06-23,四川,died
145,累计死亡,7,2020-06-23,山东,died
146,累计死亡,1,2020-06-23,江西,died
147,累计死亡,6,2020-06-23,重庆,died
148,累计死亡,6,2020-06-23,安徽,died
149,累计死亡,4,2020-06-23,湖南,died
150,累计死亡,22,2020-06-23,河南,died
151,累计死亡,8,2020-06-23,广东,died
152,累计死亡,1,2020-06-23,浙江,died
153,累计死亡,4512,2020-06-23,湖北,died
